Familiarity Values from the MRC Psycholinguistic Database
Letters,Familiarity,Words
1,632,A
1,632,A
7,510,ABANDON
7,510,ABANDON
7,510,ABANDON
11,359,ABANDONMENT
9,226,ABASEMENT
9,294,ABATEMENT
6,187,ABBESS
10,284,ABDICATION
7,426,ABDOMEN
9,413,ABDUCTION
10,208,ABERRATION
5,360,ABHOR
7,563,ABILITY
4,575,ABLE
4,575,ABLE
5,334,ABODE
5,334,ABODE
5,334,ABODE
10,358,ABOMINABLE
10,358,ABOMINABLE
10,295,ABORIGINAL
10,295,ABORIGINAL
5,593,ABOUT
5,593,ABOUT
5,593,ABOUT
5,607,ABOVE
5,607,ABOVE
5,607,ABOVE
5,607,ABOVE
11,303,ABRIDGEMENT
6,486,ABRUPT
6,486,ABRUPT
6,486,ABRUPT
7,392,ABSCESS
8,495,ABSOLUTE
8,495,ABSOLUTE
8,495,ABSOLUTE
10,372,ABSOLUTION
11,368,ABSTRACTION
8,136,ABSTRUSE
9,448,ABUNDANCE
8,524,ABUNDANT
8,524,ABUNDANT
5,450,ABUSE
5,450,ABUSE
5,293,ABYSS
5,293,ABYSS
7,509,ACADEMY
7,509,ACADEMY
12,499,ACCELERATION
10,521,ACCEPTABLE
8,564,ACCIDENT
8,564,ACCIDENT
13,533,ACCOMMODATION
10,446,ACCOMPLICE
6,418,ACCORD
6,418,ACCORD
6,418,ACCORD
6,418,ACCORD
10,431,ACCORDANCE
9,394,ACCORDION
9,394,ACCORDION
7,523,ACCOUNT
7,523,ACCOUNT
7,523,ACCOUNT
12,451,ACCUMULATION
8,566,ACCURATE
7,363,ACCUSER
4,523,ACHE
4,523,ACHE
4,523,ACHE
7,399,ACIDITY
11,503,ACKNOWLEDGE
5,397,ACORN
4,427,ACRE
7,431,ACROBAT
3,566,ACT
3,566,ACT
3,566,ACT
6,552,ACTIVE
6,589,ACTUAL
9,361,ACTUALITY
6,149,ACUMEN
5,160,ADAGE
4,372,ADAM
5,361,ADDER
8,535,ADDITION
8,535,ADDITION
10,489,ADDITIONAL
10,489,ADDITIONAL
8,485,ADEQUATE
8,485,ADEQUATE
9,375,ADHERENCE
9,515,ADJECTIVE
9,515,ADJECTIVE
9,515,ADJECTIVE
11,327,ADJOURNMENT
14,502,ADMINISTRATION
7,436,ADMIRAL
7,436,ADMIRAL
6,531,ADMIRE
6,531,ADMIRE
9,482,ADMISSION
8,341,ADMONISH
11,444,ADOLESCENCE
5,441,ADORN
5,441,ADORN
5,441,ADORN
5,590,ADULT
5,590,ADULT
8,456,ADULTERY
8,523,ADVANCED
8,523,ADVANCED
8,523,ADVANCED
8,523,ADVANCED
9,562,ADVANTAGE
9,562,ADVANTAGE
9,562,ADVANTAGE
10,402,ADVENTURER
6,473,ADVERB
6,473,ADVERB
9,360,ADVERSITY
6,566,ADVICE
4,138,ADZE
4,138,ADZE
6,481,AERIAL
6,481,AERIAL
7,266,AFFABLE
6,531,AFFAIR
9,513,AFFECTION
9,513,AFFECTION
12,507,AFFECTIONATE
12,507,AFFECTIONATE
6,444,AFFIRM
11,332,AFFIRMATION
8,219,AFFRIGHT
8,219,AFFRIGHT
8,219,AFFRIGHT
6,575,AFRAID
6,575,AFRAID
5,575,AFTER
5,575,AFTER
5,575,AFTER
5,575,AFTER
9,655,AFTERNOON
9,655,AFTERNOON
7,600,AGAINST
7,600,AGAINST
7,600,AGAINST
3,582,AGE
3,582,AGE
6,420,AGENCY
7,351,AGGRESS
7,351,AGGRESS
10,500,AGGRESSIVE
10,500,AGGRESSIVE
9,359,AGGRESSOR
5,432,AGILE
7,397,AGILITY
5,509,AGONY
9,541,AGREEMENT
4,196,AGUE
4,196,AGUE
2,519,AH
3,536,AID
3,536,AID
3,370,AIL
3,370,AIL
3,549,AIM
3,549,AIM
3,608,AIR
3,608,AIR
3,608,AIR
7,332,AIRSHIP
4,423,AIRY
4,423,AIRY
5,503,AISLE
8,245,ALACRITY
9,309,ALBATROSS
7,217,ALBUMIN
9,262,ALCHEMIST
7,578,ALCOHOL
3,454,ALE
5,528,ALERT
5,528,ALERT
5,528,ALERT
5,528,ALERT
5,317,ALGAE
7,483,ALGEBRA
5,384,ALIAS
5,384,ALIAS
5,479,ALIEN
5,479,ALIEN
5,479,ALIEN
7,415,ALIMONY
5,593,ALIVE
5,593,ALIVE
5,593,ALIVE
6,391,ALKALI
3,582,ALL
3,582,ALL
3,582,ALL
3,582,ALL
3,582,ALL
3,582,ALL
10,383,ALLEGATION
6,279,ALLEGE
8,314,ALLEGORY
5,526,ALLEY
9,442,ALLIGATOR
9,74,ALLOPHONE
9,420,ALLOTMENT
5,504,ALLOW
4,410,ALLY
4,410,ALLY
4,410,ALLY
5,562,ALONE
5,562,ALONE
8,493,ALPHABET
8,493,ALPHABET
4,552,ALSO
5,503,ALTER
11,518,ALTERNATIVE
11,518,ALTERNATIVE
8,573,ALTHOUGH
8,420,ALTITUDE
9,453,ALUMINIUM
8,494,ALUMINUM
6,600,ALWAYS
2,603,AM
2,603,AM
7,502,AMATEUR
7,502,AMATEUR
9,495,AMAZEMENT
10,477,AMBASSADOR
8,517,AMBITION
8,517,AMBITION
9,540,AMBITIOUS
9,540,AMBITIOUS
9,499,AMBULANCE
9,499,AMBULANCE
6,436,AMBUSH
6,436,AMBUSH
9,403,AMENDMENT
8,285,AMETHYST
8,285,AMETHYST
5,200,AMITY
7,524,AMMONIA
6,583,AMOUNT
6,583,AMOUNT
5,362,AMOUR
6,272,AMPERE
9,474,AMPLIFIER
9,374,AMPLITUDE
5,486,AMUSE
2,595,AN
2,595,AN
2,595,AN
2,595,AN
7,417,ANALOGY
8,405,ANALYTIC
8,405,ANALYTIC
6,458,ANCHOR
6,458,ANCHOR
7,429,ANCIENT
7,429,ANCIENT
3,620,AND
3,620,AND
3,620,AND
3,620,AND
8,388,ANECDOTE
5,103,ANELE
5,470,ANGEL
5,470,ANGEL
5,541,ANGER
5,541,ANGER
5,518,ANGLE
5,518,ANGLE
5,600,ANGRY
6,620,ANIMAL
6,620,ANIMAL
9,324,ANIMOSITY
5,543,ANKLE
6,176,ANNEAL
5,390,ANNEX
5,390,ANNEX
12,519,ANNOUNCEMENT
6,464,ANNUAL
6,464,ANNUAL
6,605,ANSWER
6,605,ANSWER
3,511,ANT
10,417,ANTAGONISM
8,241,ANTEROOM
12,492,ANTICIPATION
7,484,ANTIQUE
7,484,ANTIQUE
7,484,ANTIQUE
9,214,ANTITOXIN
5,302,ANVIL
5,302,ANVIL
7,548,ANXIETY
7,544,ANXIOUS
3,542,ANY
3,542,ANY
3,542,ANY
7,591,ANYBODY
7,591,ANYBODY
6,605,ANYONE
6,605,ANYONE
6,605,ANYONE
